Abrus precatorius
Aconitum spp.
Aethusa cynapium
Amsinckia spp.
Apocynum spp.
Arisaema triphyllum
Arum maculatum
Asclepias spp.
Astragalus spp.
Atropa belladonna
Bellis perennis
Brassica spp.
Caladium spp.
Cannabis sativa
Cestrum spp.
Codiaeum variegatum
Colchicum autumnale
Conium maculatum
Convallaria majalis
Dahlia spp.
Datura spp.
Delphinium spp.
Dianthus spp.
Dicentra cucullaria
Dieffenbachia amoena
Dieffenbachia spp.
Digitalis purpurea
Dracaena marginata
Dracaena spp.
Echium vulgare
Epipremnum aureum
Euonymus spp.
Euphorbia pulcherrima
Euphorbia spp.
Ficus lyrata
Ficus microcarpa
Gelsemium sempervirens
Gladiolus spp.
Halogeton glomeratus
Hedera helix
Hemerocallis spp.
Hyoscyamus niger
Hypericum perforatum
Ipomoea spp.
Iris spp.
Juniperus spp.
Kalmia latifolia
Kalmia polifolia
Kalmia spp.
Laburnum anagyroides
Lantana camara
Ligustrum vulgare
Lobelia spp.
Lophophora williamsii
Lupinus spp.
Macadamia integrifolia
Menispermum canadense
Mirabilis jalapa
Monstera deliciosa
Nandina domestica
Narcissus spp.
Nerium oleander
Oxalis spp.
Persea americana
Philadelphus spp.
Philodendron spp.
Podocarpus macrophyllus
Podophyllum peltatum
Quercus spp.
Ricinus communis
Rumex spp.
Russelia equisetiformis
Sansevieria trifasciata
Solanum melongena
Solanum pseudocapsicum
Solanum spp.
Strelitzia reginae
Syngonium podophyllum
