Abrus precatorius
Abutilon spp.
Acacia berlandieri
Acalypha ostryaefolia
Aconitum spp.
Actaea pachypoda
Actinomeris spp.
Aesculus hippocastanum
Aethusa cynapium
Agapanthus praecox
Agaricus spp.
Agave americana
Agave lecheguilla
Ageratina altissima
Aleurites moluccana
Aloe nobilis
Aloe vera
Amanita muscaria
Amanita spp.
Amaranthus spp.
Ambrosia dumosa
Amianthium muscaetoxicum
Amsinckia spp.
Ananas comosus
Anemone spp.
Antirrhinum majus
Apocynum cannabinum
Apocynum spp.
Ardisia crenata
Areca catechu
Argemone spp.
Argyreia nervosa
Arisaema triphyllum
Aristolochia spp.
Artemisia spp.
Arum maculatum
Asclepias spp.
Asparagus densiflorus
Asparagus spp.
Asplenium bulbiferum
Asplenium spp.
Astragalus spp.
Atropa belladonna
Aucuba japonica
Baccharis spp.
Barbourisia graveolens
Begonia semperflorens
Bellis perennis
Boletus spp.
Brassica spp.
Caladium spp.
Calendula officinalis
Caltha palustris
Calystegia sepium
Campanula spp.
Campsis radicans
Cannabis sativa
Caulophyllum thalictroides
Centaurea solstitialis
Cestrum spp.
Chamaedorea spp.
Chrysanthemum spp.
Cicuta maculata
Cineraria spp.
Clerodendrum thomsoniae
Cnidoscolus texanus
Codiaeum variegatum
Coffea arabica
Colchicum autumnale
Colocasia esculenta
Conium maculatum
Convallaria majalis
Cordyline spp.
Cordyline terminalis
Cornus canadensis
Cornus spp.
Crotalaria spp.
Cupressocyparis leylandii
Cycas revoluta
Cyperus alternifolius
Cypripedium acaule
Cypripedium spp.
Cytisus scoparius
Dahlia spp.
Daphne spp.
Datura spp.
Datura stramonium
Daucus carota
Delphinium spp.
Dianthus barbatus
Dianthus spp.
Dicentra canadensis
Dicentra cucullaria
Dichelostemma ida-maia
Dieffenbachia amoena
Dieffenbachia spp.
Digitalis purpurea
Dionaea muscipula
Dracaena deremensis
Dracaena draco
Dracaena godseffiana
Dracaena marginata
Dracaena sanderiana
Dracaena spp.
Duranta erecta
Echinopsis multiplex
Echium vulgare
Epilobium angustifolium
Epilobium spp.
Epipremnum aureum
Equisetum spp.
Euonymus europaeus
Euonymus japonicus
Euonymus spp.
Eupatorium rugosum
Euphorbia caput-medusae
Euphorbia marginata
Euphorbia milii
Euphorbia pulcherrima
Euphorbia spp.
Euphorbia tirucalli
Ficus benjamina
Ficus cordata
Ficus elastica
Ficus lyrata
Ficus microcarpa
Galanthus spp.
Gelsemium sempervirens
Gladiolus spp.
Glechoma hederacea
Gutierrezia sarothrae
Halogeton glomeratus
Hedera helix
Hedera spp.
Helenium autumnale
Helleborus spp.
Hemerocallis spp.
Heteromeles arbutifolia
Hippomane mancinella
Hyacinthus spp.
Hydrangea spp.
Hymenoxys odorata
Hymenoxys spp.
Hyoscyamus niger
Hypericum perforatum
Hypericum spp.
Ilex cassine
Ilex glabra
Ilex spp.
