NAME,COMMON,BINOMIAL,FAMILY
adam-and-eve,arum|lord-and-ladies|wake robin|starch root|bobbins|cuckoo plant,arum maculatum,araceae
african wonder tree,,ricinus communis,
alocasia,elephant's ear,alocasia spp.,araceae
aloe,,aloe vera,liliaceae
amaryllis,belladonna lily|saint joseph lily|cape belladonna|naked lady,amaryllis spp.,amaryllidaceae
ambrosia mexicana,jerusalem oak|feather geranium,chenopodium botrys,chenopodiaceae
american bittersweet,bittersweet|waxwork|shrubby bittersweet|false bittersweet|climbing bittersweet,celastrus scandens,celastraceae
american holly,english holly|european holly|oregon holly|inkberry|winterberry,ilex opaca,aquifoliaceae
american mandrake,mayapple|indian apple root|umbrella leaf|wild lemon|hog apple|duck's foot|raccoonberry,podophyllum peltatum,berberidaceae
american yew,canada yew|canadian yew,taxus canadensus,taxaceae
andromeda japonica,pieris|lily-of-the-valley bush,pieris japonica,ericaceae
angelica tree,hercules' club|devil's walking stick|prickly ash|prickly elder,aralia spinosa,araliaceae
apple,,malus sylvestrus,rosaceae
apricot,plum|peach|cherry,prunus armeniaca,rosaceae
arrow-head vine,nephthytis|green gold naphthysis|african evergreen|trileaf wonder,syngonium podophyllum,araceae
arum,cuckoo-pint|lord-and-ladies|adam-and-eve|starch root|bobbins|wake robin,arum maculatum,araceae
arum lily,calla lily|pig lily|white arum|trumpet lily|florist's calla|garden calla,zantedeschia aethiopica,araceae
asian lily,asiatic lily,lilium asiatica,liliaceae
asparagus fern,asparagus|emerald feather|emerald fern|sprengeri fern|plumosa fern|lace fern|racemose asparagus|shatavari,asparagus densiflorus cv sprengeri,liliaceae
australian ivy palm,schefflera|umbrella tree|octopus tree|starleaf,brassaia actinophylla,araliaceae
autumn crocus,meadow saffron,colchicum autumnale,liliaceae
azalea,rosebay|rhododendron,rhododendron spp,ericaceae
baby doll ti plant,ti-plant|good-luck plant|hawaiian ti plant,cordyline terminalis,agavaceae
barbados aloe,medicine plant|true aloe,aloe barbadensis,aloaceae
barbados lily,amaryllis|fire lily|lily of the palace|ridderstjerne,hippeastrum spp.,amaryllidaceae
barbados pride,peacock flower|dwarf poinciana,caesalpinia pulcherrima,
barbados pride 2,bird of paradise|poinciana|brazilwood,poinciana gilliesii,leguminosae
bay laurel,sweet bag|bay tree|tree laurel|laurel tree|laurel,laurus nobilis,lauraceae
bead tree,china ball tree|paradise tree|persian lilac|white cedar|japanese bead tree|texas umbrella tree|pride-of-india|chinaberry tree,melia azedarach,meliaceae
begonia,,begonia spp.,begoniaceae
bergamot orange,bergamot|citrus bergamia,citrus aurantium,rutaceae
bird of paradise,peacock flower|barbados pride|poinciana|pride of barbados,caesalpinia gilliesii,leguminosae
bird of paradise 2,peacock flower|barbados pride|poinciana|pride of barbados,poinciana gilliesii,leguminosae
bird of paradise flower,crane flower|bird's tongue flower,strelitzia reginae,strelitziaceae
bird's tongue flower,bird of paradise flower|crane flower,strelitzia reginae,strelitziaceae
bishop’s weed,greater ammi|false queen anne's lace,ammi majus,apiaceae
bitter root,dogbane hemp|indian hemp,apocynum androsaemifolium,apocynaceae
black calla,solomon's lily|wild calla|wild arum,arum palestinum,araceae
black cherry,,prunus serotina,rosaceae
black laurel,dog hobble|dog laurel|fetter bush|sierra laurel,leucothoe spp.,ericaceae
black nightshade,nightshade|deadly nightshade,solanum nigrum,solanaceae
bobbins,arum|lord-and-ladies|adam-and-eve|starch root|wake robin|cuckoo plant,arum maculatum,araceae
bog laurel,pale laurel|bog kalmia,kalmia poliifolia,ericaceae
borage,starflower,borage officinalis,boraginceae
boxwood,,buxus spp.,buxaceae
branching ivy,english ivy|glacier ivy|needlepoint ivy|sweetheart ivy|california ivy,hedera helix,araliaceae
brazilwood,bird of paradise|poinciana|barbados pride,poinciana gilliesii,leguminosae
bread and butter plant,indian borage|spanish thyme|coleus|maratha|militini|east indian thyme,coleus ampoinicus,labiatae
brunfelsia,yesterday-today-tomorrow|kiss-me-quick|lady-of-the-night|fransiscan rain tree,brunfelsia species,solanaceae
buckeye,horse chestnut,aesculus spp,hippocastanaceae
buckwheat,,fagopyrum spp.,polygonaceae
buddhist pine,yew pine|japanese yew|southern yew|podocarpus,podocarpus macrophylla,podocarpaceae
burning bush,wahoo|spindle tree,euonymus atropurpurea,celastraceae
buttercup,butter cress|figwort,ranunculus spp.,ranunculaceae
butterfly iris,spuria iris,iris spuria,iridaceae
caladium,malanga|elephant's ears|stoplight|seagull|mother-in-law plant|pink cloud|texas wonder|angel-wings|exposition|candidum|fancy-leaved caladium,caladium hortulanum,araceae
calamondin orange,,citrus mitis,rutaceae
california ivy,branching ivy|glacier ivy|needlepoint ivy|sweetheart ivy|english ivy,hedera helix,araliaceae
