Jatropha multifida
Daphne mezerum
Zigadenus venenosus
Solanum melongena
Sambucus mexicana
Euonymus spp.
Mentha pulegium
Mirabilis jalapa
Heliotropium spp.
Hyoscyamus niger
Solanum carolinense
Hedera spp.
Solanum spp.
Juniperus spp.
Kalmia spp.
Lobelia spp.
Astragalus spp.
Oxytropis spp.
Lupinus spp
Asclepias spp.
Phoradendron villosum
Philadelphus spp.
Menispermum canadense
Aconitum spp.
Quercus spp.
Pyrus spp.
Lophophora williamsii
Monstera spp.
Toxicodendron radicans
Rhus vernix
Euphorbia pulcherrima
Papaver spp.
Phytolacca Americana
Solanum tuberosum
Epipremnum aureum
Primula spp.
Ligustrum vulgare
Acer rubrum
Salvia officinalis
Medicago lupulina
Trifolium repens
Galanthus nivalis
Euphorbia spp.
Ornithogalum umbellatum
Lathyrus odoratus
Nicotiania spp.
Parthenocissus quinquefolia
Vicia spp.
Symphoricarpos albus
Acokanthera spp.
Datura spp.
Malus spp.
Persea Americana
Momordica charantia
Actaea rubra
Atropa belladonna
Celastrus spp.
Pteridium aquilinum
Karwinskia spp.
Arctium spp.
Acacia greggii
Melia azedarach
